239;misse;objeto fino de metal capaz de prender o cabelo
240;ataca;objeto fino de metal capaz de prender o cabelo
241;atraca;objeto fino de metal capaz de prender o cabelo
242;presilha;objeto fino de metal capaz de prender o cabelo
243;frevo;tipo de frevo que não tem letra de musica
244;frevo-de-rua;tipo de frevo que não tem letra de musica
245;frevo com orquestra;tipo de frevo que não tem letra de musica
246;frevo sem música;tipo de frevo que não tem letra de musica
247;banda de frevo;tipo de frevo que não tem letra de musica
248;guerreiros de lança;soldados da cavalaria armada de lança no Maracatu 
249;lanceiros;soldados da cavalaria armada de lança no Maracatu
250;lançadores;soldados da cavalaria armada de lança no Maracatu
251;soldado de lança;soldados da cavalaria armada de lança no Maracatu
252;cavaleiros;soldados da cavalaria armada de lança no Maracatu
253;renascença;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
254;renda;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
255;crochê;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
256;tricô;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
257;bordado;tipo de renda confeccionada com agulha, linha, típica do nordeste, especial em pernambuco
258;torno;peça usada para modelagem de figuras ou panelas de barro
259;fôrma;peça usada para modelagem de figuras ou panelas de barro
260;panela;peça usada para modelagem de figuras ou panelas de barro
261;máquina;peça usada para modelagem de figuras ou panelas de barro
262;bacia;peça usada para modelagem de figuras ou panelas de barro
